Fecha,tipo_cambio,remesas,INPC
Feb 2014,13.2808,"1,788.2",84.7332
Mar 2014,13.1951,"2,182.6",84.9653
Abr 2014,13.0708,"2,056.9",84.8068
May 2014,12.9247,"2,234.1",84.5356
Jun 2014,12.9958,"2,095.9",84.6821
Jul 2014,12.9904,"2,051.1",84.9150
Ago 2014,13.1406,"2,057.8",85.2200
Sep 2014,13.2352,"2,015.0",85.5963
Oct 2014,13.4763,"2,097.5",86.0696
Nov 2014,13.6216,"1,824.5",86.7638
Dic 2014,14.5129,"2,291.6",87.1890
Ene 2015,14.6926,"1,671.4",87.1101
Feb 2015,14.9213,"1,893.2",87.2754
Mar 2015,15.2283,"2,305.4",87.6307
Abr 2015,15.2262,"2,047.8",87.4038
May 2015,15.2645,"2,247.4",86.9674
Jun 2015,15.4830,"2,198.3",87.1131
Jul 2015,15.9396,"2,288.9",87.2408
Ago 2015,16.5368,"2,308.9",87.4249
Sep 2015,16.8578,"2,097.8",87.7524
Oct 2015,16.5640,"2,131.7",88.2039
Nov 2015,16.6357,"1,944.1",88.6855
Dic 2015,17.0666,"2,241.5",89.0468
Ene 2016,18.0728,"1,976.4",89.3864
Feb 2016,18.4731,"2,123.2",89.7778
Mar 2016,17.6490,"2,235.8",89.9100
Abr 2016,17.4877,"2,213.4",89.6253
May 2016,18.1542,"2,532.9",89.2256
Jun 2016,18.6530,"2,366.6",89.3240
Jul 2016,18.6014,"2,306.1",89.5569
Ago 2016,18.4749,"2,318.9",89.8093
Sep 2016,19.1924,"2,441.4",90.3577
Oct 2016,18.8924,"2,273.9",90.9062
Nov 2016,20.1185,"2,444.8",91.6168
Dic 2016,20.5206,"2,397.7",92.0390
Ene 2017,21.3853,"2,196.1",93.6039
Feb 2017,20.2905,"2,191.0",94.1448
Mar 2017,19.3010,"2,678.2",94.7225
Abr 2017,18.7875,"2,449.3",94.8389
May 2017,18.7557,"2,754.2",94.7255
Jun 2017,18.1326,"2,609.6",94.9636
Jul 2017,17.8283,"2,663.0",95.3227
Ago 2017,17.8070,"2,678.7",95.7938
Sep 2017,17.8357,"2,550.7",96.0935
Oct 2017,18.8161,"2,873.2",96.6983
Nov 2017,18.9158,"2,473.8",97.6952
Dic 2017,19.1812,"2,825.0",98.2729
Ene 2018,18.9074,"2,308.8",98.7950
Feb 2018,18.6449,"2,292.4",99.1714
Mar 2018,18.6308,"2,731.0",99.4922
Abr 2018,18.3872,"2,816.4",99.1548
May 2018,19.5910,"3,232.4",98.9941
Jun 2018,20.3032,"3,224.5",99.3765
Jul 2018,19.0095,"2,930.1",99.9091
Ago 2018,18.8575,"2,961.1",100.4920
Sep 2018,19.0154,"2,796.1",100.9170
Oct 2018,19.1859,"3,115.6",101.4400
Nov 2018,20.2612,"3,005.4",102.3030
Dic 2018,20.1112,"3,021.3",103.0200
Ene 2019,19.1651,"2,527.6",103.1080
Feb 2019,19.2049,"2,506.4",103.0790
Mar 2019,19.2477,"3,038.1",103.4760
Abr 2019,18.9864,"3,014.9",103.5310
May 2019,19.1197,"3,387.3",103.2330
Jun 2019,19.2745,"3,293.2",103.2990
Jul 2019,19.0534,"3,371.3",103.6870
Ago 2019,19.6850,"3,487.5",103.6700
Sep 2019,19.5865,"3,181.9",103.9420
Oct 2019,19.3242,"3,238.0",104.5030
Nov 2019,19.3325,"3,006.5",105.3460
Dic 2019,19.1071,"3,197.7",105.9340
Ene 2020,18.8040,"2,676.6",106.4470
Feb 2020,18.8443,"2,803.5",106.8890
Mar 2020,22.3784,"4,147.1",106.8380
Abr 2020,24.2658,"2,982.7",105.7550
May 2020,23.4230,"3,541.8",106.1620
Jun 2020,22.2990,"3,630.6",106.7430
Jul 2020,22.4033,"3,629.2",107.4440
Ago 2020,22.2072,"3,654.2",107.8670
Sep 2020,21.6810,"3,673.8",108.1140
Oct 2020,21.2705,"3,715.3",108.7740
Nov 2020,20.3819,"3,491.9",108.8560
Dic 2020,19.9651,"3,757.2",109.2710
Ene 2021,19.9215,"3,392.8",110.2100
Feb 2021,20.3097,"3,264.1",110.9070
Mar 2021,20.7555,"4,275.1",111.8240
Abr 2021,20.0153,"4,167.8",112.1900
May 2021,19.9631,"4,677.3",112.4190
Jun 2021,20.0301,"4,605.3",113.0180
Jul 2021,19.9701,"4,616.3",113.6820
Ago 2021,20.0761,"4,776.7",113.8990
Sep 2021,20.0487,"4,436.0",114.6010
Oct 2021,20.4626,"4,854.1",115.5610
Nov 2021,20.9004,"4,689.3",116.8840
Dic 2021,20.8918,"4,767.8",117.3080
Ene 2022,20.4978,"3,935.1",118.0020
Feb 2022,20.4495,"3,928.5",118.9810
Mar 2022,20.5562,"4,712.1",120.1590
Abr 2022,20.1088,"4,749.1",120.8090
May 2022,20.0305,"5,173.7",121.0220
Jun 2022,20.0237,"5,150.2",122.0440
Jul 2022,20.5467,"5,342.8",122.9480
Ago 2022,20.1209,"5,160.1",123.8030
Sep 2022,20.0750,"5,078.6",124.5710
Oct 2022,19.9845,"5,404.7",125.2760
Nov 2022,19.4449,"4,853.7",125.9970
Dic 2022,19.5930,"5,379.1",126.4780
Ene 2023,18.9863,"4,435.4",127.3360
Feb 2023,18.5986,"4,347.2",128.0460
Mar 2023,18.3749,"5,189.8",128.3890
Abr 2023,18.0855,"5,006.7",128.3630
May 2023,17.7373,"5,675.6",128.0840
Jun 2023,17.2412,"5,584.4",128.2140
Jul 2023,16.9049,"5,668.1",128.8320
Ago 2023,16.9766,"5,568.2",129.5450
Sep 2023,17.3077,"5,616.7",130.1200
Oct 2023,18.0823,"5,817.8",130.6090
Nov 2023,17.3767,"4,913.0",131.4450
Dic 2023,17.1860,"5,496.9",132.3730
Ene 2024,17.0873,"4,574.6",133.5550
Feb 2024,17.0898,"4,510.1",133.6810
Mar 2024,16.7918,"5,020.7",134.0650
